Borough,Sector,Year,Employee jobs
Bexley,Retail,2015,8000
Bexley,Transportation and Storage,2015,4000
Bexley,Accomodation and food service activities,2015,4000
Bexley,Information and Communication,2015,2000
Bexley,Financial and insurance activities,2015,1000
Bexley,"Professional, Real Estate, Scientific and technical activities",2015,6000
Bexley,Administrative and support service activities,2015,8000
Bexley,Public Admin and defence,2015,3000
Bexley,Education,2015,7000
Bexley,Health,2015,8000
Bexley,"Arts, entertainment and recreation",2015,1250
Bexley,Other services,2015,1250
Bexley,Primary & Utilities,2016,1250
Bexley,Manufacturing,2016,5000
Bexley,Construction,2016,5000
Bexley,Wholesale,2016,4500
Bexley,Retail,2016,8000
Bexley,Transportation and Storage,2016,4500
Bexley,Accomodation and food service activities,2016,4500
Bexley,Information and Communication,2016,2250
Bexley,Financial and insurance activities,2016,1000
Bexley,"Professional, Real Estate, Scientific and technical activities",2016,6000
Bexley,Administrative and support service activities,2016,9000
Bexley,Public Admin and defence,2016,3000
Bexley,Education,2016,7000
Bexley,Health,2016,7000
Bexley,"Arts, entertainment and recreation",2016,1250
Bexley,Other services,2016,1500
Bexley,Primary & Utilities,2017,1250
Bexley,Manufacturing,2017,4500
Bexley,Construction,2017,7000
Bexley,Wholesale,2017,5000
Bexley,Retail,2017,8000
Bexley,Transportation and Storage,2017,5000
Bexley,Accomodation and food service activities,2017,4500
Bexley,Information and Communication,2017,2500
Bexley,Financial and insurance activities,2017,1000
Bexley,"Professional, Real Estate, Scientific and technical activities",2017,5000
Bexley,Administrative and support service activities,2017,9000
Bexley,Public Admin and defence,2017,3000
Bexley,Education,2017,7000
Bexley,Health,2017,8000
Bexley,"Arts, entertainment and recreation",2017,1250
Bexley,Other services,2017,1500
Bexley,Primary & Utilities,2018,1250
Bexley,Manufacturing,2018,4500
Bexley,Construction,2018,6000
Bexley,Wholesale,2018,5000
Bexley,Retail,2018,9000
Bexley,Transportation and Storage,2018,4500
Bexley,Accomodation and food service activities,2018,4500
Bexley,Information and Communication,2018,2250
Bexley,Financial and insurance activities,2018,800
Bexley,"Professional, Real Estate, Scientific and technical activities",2018,6000
Bexley,Administrative and support service activities,2018,10000
Bexley,Public Admin and defence,2018,3500
Bexley,Education,2018,7000
Bexley,Health,2018,8000
Bexley,"Arts, entertainment and recreation",2018,1250
Bexley,Other services,2018,1250
Bexley,Primary & Utilities,2019,1500
Bexley,Manufacturing,2019,4500
Bexley,Construction,2019,6000
Bexley,Wholesale,2019,6000
Bexley,Retail,2019,9000
Bexley,Transportation and Storage,2019,6000
Bexley,Accomodation and food service activities,2019,4500
Bexley,Information and Communication,2019,2500
Bexley,Financial and insurance activities,2019,800
Bexley,"Professional, Real Estate, Scientific and technical activities",2019,6000
Bexley,Administrative and support service activities,2019,9000
Bexley,Public Admin and defence,2019,3500
Bexley,Education,2019,7000
Bexley,Health,2019,8000
Bexley,"Arts, entertainment and recreation",2019,1250
Bexley,Other services,2019,1500
Bexley,Primary & Utilities,2020,1500
Bexley,Manufacturing,2020,5000
Bexley,Construction,2020,6000
Bexley,Wholesale,2020,5000
Bexley,Retail,2020,9000
Bexley,Transportation and Storage,2020,7000
Bexley,Accomodation and food service activities,2020,4500
Bexley,Information and Communication,2020,2250
Bexley,Financial and insurance activities,2020,800
Bexley,"Professional, Real Estate, Scientific and technical activities",2020,6000
Bexley,Administrative and support service activities,2020,8000
Bexley,Public Admin and defence,2020,3500
Bexley,Education,2020,7000
Bexley,Health,2020,8000
Bexley,"Arts, entertainment and recreation",2020,1500
Bexley,Other services,2020,1250
Bexley,Primary & Utilities,2021,1000
Bexley,Manufacturing,2021,4500
Bexley,Construction,2021,6000
Bexley,Wholesale,2021,5000
Bexley,Retail,2021,9000
Bexley,Transportation and Storage,2021,5000
Bexley,Accomodation and food service activities,2021,4500
Bexley,Information and Communication,2021,2000
Bexley,Financial and insurance activities,2021,700
Bexley,"Professional, Real Estate, Scientific and technical activities",2021,6000
Bexley,Administrative and support service activities,2021,9000
Bexley,Public Admin and defence,2021,3500
Bexley,Education,2021,7000
Bexley,Health,2021,8000
Bexley,"Arts, entertainment and recreation",2021,1250
Bexley,Other services,2021,1500
Brent,Primary & Utilities,1996,2250
Brent,Manufacturing,1996,10000
Brent,Construction,1996,4500
Brent,Wholesale,1996,11000
Brent,Retail,1996,9000
Brent,Transportation and Storage,1996,4500
Brent,Accomodation and food service activities,1996,4500
Brent,Information and Communication,1996,5000
Brent,Financial and insurance activities,1996,2000
Brent,"Professional, Real Estate, Scientific and technical activities",1996,7000
Brent,Administrative and support service activities,1996,6000
Brent,Public Admin and defence,1996,5000
Brent,Education,1996,4500
Brent,Health,1996,10000
Brent,"Arts, entertainment and recreation",1996,2500
Brent,Other services,1996,1750
Brent,Primary & Utilities,1997,2250
Brent,Manufacturing,1997,10000
Brent,Construction,1997,6000
Brent,Wholesale,1997,11000
Brent,Retail,1997,9000
Brent,Transportation and Storage,1997,6000
Brent,Accomodation and food service activities,1997,6000
Brent,Information and Communication,1997,6000
Brent,Financial and insurance activities,1997,2250
Brent,"Professional, Real Estate, Scientific and technical activities",1997,7000
Brent,Administrative and support service activities,1997,6000
Brent,Public Admin and defence,1997,5000
Brent,Education,1997,4500
Brent,Health,1997,10000
Brent,"Arts, entertainment and recreation",1997,2250
Brent,Other services,1997,1250
Brent,Primary & Utilities,1998,2500
Brent,Manufacturing,1998,9000
Brent,Construction,1998,7000
Brent,Wholesale,1998,12000
Brent,Retail,1998,11000
Brent,Transportation and Storage,1998,6000
Brent,Accomodation and food service activities,1998,6000
Brent,Information and Communication,1998,6000
Brent,Financial and insurance activities,1998,2250
Brent,"Professional, Real Estate, Scientific and technical activities",1998,6000
Brent,Administrative and support service activities,1998,6000
Brent,Public Admin and defence,1998,5000
Brent,Education,1998,4500
Brent,Health,1998,10000
Brent,"Arts, entertainment and recreation",1998,2000
Brent,Other services,1998,1750
Brent,Primary & Utilities,1999,2500
Brent,Manufacturing,1999,9000
Brent,Construction,1999,7000
Brent,Wholesale,1999,13000
Brent,Retail,1999,12000
Brent,Transportation and Storage,1999,6000
Brent,Accomodation and food service activities,1999,6000
Brent,Information and Communication,1999,7000
Brent,Financial and insurance activities,1999,1750
Brent,"Professional, Real Estate, Scientific and technical activities",1999,7000
Brent,Administrative and support service activities,1999,6000
Brent,Public Admin and defence,1999,3000
Brent,Education,1999,4000
Brent,Health,1999,9000
Brent,"Arts, entertainment and recreation",1999,2250
Brent,Other services,1999,1750
Brent,Primary & Utilities,2000,3000
Brent,Manufacturing,2000,9000
Brent,Construction,2000,7000
Brent,Wholesale,2000,12000
Brent,Retail,2000,11000
Brent,Transportation and Storage,2000,7000
Brent,Accomodation and food service activities,2000,8000
Brent,Information and Communication,2000,7000
Brent,Financial and insurance activities,2000,1750
Brent,"Professional, Real Estate, Scientific and technical activities",2000,7000
Brent,Administrative and support service activities,2000,7000
Brent,Public Admin and defence,2000,5000
Brent,Education,2000,5000
Brent,Health,2000,10000
Brent,"Arts, entertainment and recreation",2000,2250
Brent,Other services,2000,1750
Brent,Primary & Utilities,2001,4000
Brent,Manufacturing,2001,8000
Brent,Construction,2001,7000
Brent,Wholesale,2001,13000
Brent,Retail,2001,11000
Brent,Transportation and Storage,2001,7000
Brent,Accomodation and food service activities,2001,6000
Brent,Information and Communication,2001,7000
Brent,Financial and insurance activities,2001,1750
Brent,"Professional, Real Estate, Scientific and technical activities",2001,7000
Brent,Administrative and support service activities,2001,7000
Brent,Public Admin and defence,2001,6000
Brent,Education,2001,4000
Brent,Health,2001,10000
Brent,"Arts, entertainment and recreation",2001,1750
Brent,Other services,2001,2000
Brent,Primary & Utilities,2002,3000
Brent,Manufacturing,2002,7000
Brent,Construction,2002,6000
Brent,Wholesale,2002,13000
Brent,Retail,2002,11000
Brent,Transportation and Storage,2002,6000
Brent,Accomodation and food service activities,2002,11000
Brent,Information and Communication,2002,6000
Brent,Financial and insurance activities,2002,1750
Brent,"Professional, Real Estate, Scientific and technical activities",2002,7000
Brent,Administrative and support service activities,2002,7000
Brent,Public Admin and defence,2002,5000
Brent,Education,2002,4500
Brent,Health,2002,10000
Brent,"Arts, entertainment and recreation",2002,2000
Brent,Other services,2002,1750
Brent,Primary & Utilities,2003,3000
Brent,Manufacturing,2003,6000
Brent,Construction,2003,6000
Brent,Wholesale,2003,13000
Brent,Retail,2003,10000
Brent,Transportation and Storage,2003,7000
Brent,Accomodation and food service activities,2003,13000
Brent,Information and Communication,2003,6000
Brent,Financial and insurance activities,2003,1750
Brent,"Professional, Real Estate, Scientific and technical activities",2003,7000
Brent,Administrative and support service activities,2003,6000
Brent,Public Admin and defence,2003,5000
Brent,Education,2003,4000
Brent,Health,2003,11000
Brent,"Arts, entertainment and recreation",2003,1750
Brent,Other services,2003,1500
Brent,Primary & Utilities,2004,2500
Brent,Manufacturing,2004,6000
Brent,Construction,2004,6000
Brent,Wholesale,2004,12000
Brent,Retail,2004,10000
Brent,Transportation and Storage,2004,6000
Brent,Accomodation and food service activities,2004,10000
Brent,Information and Communication,2004,5000
Brent,Financial and insurance activities,2004,1750
Brent,"Professional, Real Estate, Scientific and technical activities",2004,7000
Brent,Administrative and support service activities,2004,6000
Brent,Public Admin and defence,2004,6000
Brent,Education,2004,4500
Brent,Health,2004,11000
Brent,"Arts, entertainment and recreation",2004,2000
Brent,Other services,2004,1750
Brent,Primary & Utilities,2005,3000
Brent,Manufacturing,2005,6000
Brent,Construction,2005,6000
Brent,Wholesale,2005,10000
Brent,Retail,2005,11000
Brent,Transportation and Storage,2005,6000
Brent,Accomodation and food service activities,2005,10000
Brent,Information and Communication,2005,5000
Brent,Financial and insurance activities,2005,1500
Brent,"Professional, Real Estate, Scientific and technical activities",2005,7000
Brent,Administrative and support service activities,2005,6000
Brent,Public Admin and defence,2005,6000
Brent,Education,2005,5000
Brent,Health,2005,12000
Brent,"Arts, entertainment and recreation",2005,2000
Brent,Other services,2005,1750
Brent,Primary & Utilities,2006,3000
Brent,Manufacturing,2006,5000
Brent,Construction,2006,6000
Brent,Wholesale,2006,10000
Brent,Retail,2006,11000
Brent,Transportation and Storage,2006,7000
Brent,Accomodation and food service activities,2006,8000
Brent,Information and Communication,2006,5000
Brent,Financial and insurance activities,2006,1250
Brent,"Professional, Real Estate, Scientific and technical activities",2006,7000
Brent,Administrative and support service activities,2006,6000
Brent,Public Admin and defence,2006,6000
Brent,Education,2006,5000
Brent,Health,2006,11000
Brent,"Arts, entertainment and recreation",2006,1750
Brent,Other services,2006,1750
Brent,Primary & Utilities,2007,3000
Brent,Manufacturing,2007,6000
Brent,Construction,2007,6000
Brent,Wholesale,2007,10000
Brent,Retail,2007,11000
Brent,Transportation and Storage,2007,7000
Brent,Accomodation and food service activities,2007,8000
Brent,Information and Communication,2007,5000
Brent,Financial and insurance activities,2007,1250
Brent,"Professional, Real Estate, Scientific and technical activities",2007,7000
Brent,Administrative and support service activities,2007,6000
Brent,Public Admin and defence,2007,5000
Brent,Education,2007,6000
Brent,Health,2007,11000
Brent,"Arts, entertainment and recreation",2007,1750
Brent,Other services,2007,2000
Brent,Primary & Utilities,2008,3000
Brent,Manufacturing,2008,5000
Brent,Construction,2008,6000
Brent,Wholesale,2008,10000
Brent,Retail,2008,11000
Brent,Transportation and Storage,2008,7000
Brent,Accomodation and food service activities,2008,7000
Brent,Information and Communication,2008,5000
Brent,Financial and insurance activities,2008,1250
Brent,"Professional, Real Estate, Scientific and technical activities",2008,8000
Brent,Administrative and support service activities,2008,6000
Brent,Public Admin and defence,2008,5000
Brent,Education,2008,6000
Brent,Health,2008,13000
Brent,"Arts, entertainment and recreation",2008,2000
Brent,Other services,2008,2000
Brent,Primary & Utilities,2009,1250
Brent,Manufacturing,2009,9000
Brent,Construction,2009,5000
Brent,Wholesale,2009,9000
Brent,Retail,2009,10000
Brent,Transportation and Storage,2009,7000
Brent,Accomodation and food service activities,2009,7000
Brent,Information and Communication,2009,4000
Brent,Financial and insurance activities,2009,1250
Brent,"Professional, Real Estate, Scientific and technical activities",2009,6000
Brent,Administrative and support service activities,2009,7000
Brent,Public Admin and defence,2009,5000
Brent,Education,2009,7000
Brent,Health,2009,13000
Brent,"Arts, entertainment and recreation",2009,2250
Brent,Other services,2009,1500
Brent,Primary & Utilities,2010,1750
Brent,Manufacturing,2010,9000
Brent,Construction,2010,4500
Brent,Wholesale,2010,9000
Brent,Retail,2010,9000
Brent,Transportation and Storage,2010,7000
Brent,Accomodation and food service activities,2010,7000
Brent,Information and Communication,2010,4000
Brent,Financial and insurance activities,2010,1250
Brent,"Professional, Real Estate, Scientific and technical activities",2010,7000
Brent,Administrative and support service activities,2010,8000
Brent,Public Admin and defence,2010,4500
Brent,Education,2010,9000
Brent,Health,2010,13000
Brent,"Arts, entertainment and recreation",2010,2250
Brent,Other services,2010,1750
Brent,Primary & Utilities,2011,1750
Brent,Manufacturing,2011,7000
Brent,Construction,2011,4500
Brent,Wholesale,2011,10000
Brent,Retail,2011,9000
Brent,Transportation and Storage,2011,8000
Brent,Accomodation and food service activities,2011,7000
Brent,Information and Communication,2011,4500
Brent,Financial and insurance activities,2011,1250
Brent,"Professional, Real Estate, Scientific and technical activities",2011,7000
Brent,Administrative and support service activities,2011,9000
Brent,Public Admin and defence,2011,4500
Brent,Education,2011,9000
Brent,Health,2011,13000
Brent,"Arts, entertainment and recreation",2011,2500
Brent,Other services,2011,1500
Brent,Primary & Utilities,2012,1750
Brent,Manufacturing,2012,8000
Brent,Construction,2012,6000
Brent,Wholesale,2012,11000
Brent,Retail,2012,10000
Brent,Transportation and Storage,2012,10000
Brent,Accomodation and food service activities,2012,7000
Brent,Information and Communication,2012,4000
Brent,Financial and insurance activities,2012,1250
Brent,"Professional, Real Estate, Scientific and technical activities",2012,7000
Brent,Administrative and support service activities,2012,9000
Brent,Public Admin and defence,2012,4500
Brent,Education,2012,9000
Brent,Health,2012,14000
Brent,"Arts, entertainment and recreation",2012,2500
Brent,Other services,2012,1500
Brent,Primary & Utilities,2013,1250
Brent,Manufacturing,2013,8000
Brent,Construction,2013,4500
Brent,Wholesale,2013,11000
Brent,Retail,2013,11000
Brent,Transportation and Storage,2013,9000
Brent,Accomodation and food service activities,2013,7000
Brent,Information and Communication,2013,5000
Brent,Financial and insurance activities,2013,1000
Brent,"Professional, Real Estate, Scientific and technical activities",2013,8000
Brent,Administrative and support service activities,2013,9000
Brent,Public Admin and defence,2013,4500
Brent,Education,2013,9000
Brent,Health,2013,16000
Brent,"Arts, entertainment and recreation",2013,2250
Brent,Other services,2013,1750
Brent,Primary & Utilities,2014,1250
Brent,Manufacturing,2014,8000
Brent,Construction,2014,5000
Brent,Wholesale,2014,12000
Brent,Retail,2014,12000
Brent,Transportation and Storage,2014,8000
Brent,Accomodation and food service activities,2014,8000
Brent,Information and Communication,2014,5000
Brent,Financial and insurance activities,2014,1000
Brent,"Professional, Real Estate, Scientific and technical activities",2014,8000
Brent,Administrative and support service activities,2014,12000
Brent,Public Admin and defence,2014,3000
Brent,Education,2014,9000
Brent,Health,2014,16000
Brent,"Arts, entertainment and recreation",2014,2500
Brent,Other services,2014,1500
Brent,Primary & Utilities,2015,1000
Brent,Manufacturing,2015,8000
Brent,Construction,2015,5000
Brent,Wholesale,2015,12000
Brent,Retail,2015,13000
Brent,Transportation and Storage,2015,8000
Brent,Accomodation and food service activities,2015,8000
Brent,Information and Communication,2015,4000
Brent,Financial and insurance activities,2015,1000
Brent,"Professional, Real Estate, Scientific and technical activities",2015,9000
Brent,Administrative and support service activities,2015,10000
Brent,Public Admin and defence,2015,3000
Brent,Education,2015,9000
Brent,Health,2015,16000
Brent,"Arts, entertainment and recreation",2015,2500
Brent,Other services,2015,1750
Brent,Primary & Utilities,2016,1250
Brent,Manufacturing,2016,8000
Brent,Construction,2016,6000
Brent,Wholesale,2016,12000
Brent,Retail,2016,12000
Brent,Transportation and Storage,2016,8000
Brent,Accomodation and food service activities,2016,9000
Brent,Information and Communication,2016,5000
Brent,Financial and insurance activities,2016,1500
Brent,"Professional, Real Estate, Scientific and technical activities",2016,11000
Brent,Administrative and support service activities,2016,10000
Brent,Public Admin and defence,2016,3000
Brent,Education,2016,9000
Brent,Health,2016,18000
Brent,"Arts, entertainment and recreation",2016,2500
Brent,Other services,2016,2250
Brent,Primary & Utilities,2017,1250
Brent,Manufacturing,2017,8000
Brent,Construction,2017,8000
Brent,Wholesale,2017,12000
Brent,Retail,2017,13000
Brent,Transportation and Storage,2017,9000
Brent,Accomodation and food service activities,2017,9000
Brent,Information and Communication,2017,5000
Brent,Financial and insurance activities,2017,1500
Brent,"Professional, Real Estate, Scientific and technical activities",2017,10000
Brent,Administrative and support service activities,2017,12000
Brent,Public Admin and defence,2017,3000
Brent,Education,2017,10000
Brent,Health,2017,19000
Brent,"Arts, entertainment and recreation",2017,2500
Brent,Other services,2017,2000
Brent,Primary & Utilities,2018,1250
Brent,Manufacturing,2018,8000
Brent,Construction,2018,8000
Brent,Wholesale,2018,12000
Brent,Retail,2018,13000
Brent,Transportation and Storage,2018,8000
Brent,Accomodation and food service activities,2018,10000
Brent,Information and Communication,2018,4500
Brent,Financial and insurance activities,2018,1250
Brent,"Professional, Real Estate, Scientific and technical activities",2018,11000
Brent,Administrative and support service activities,2018,12000
Brent,Public Admin and defence,2018,3000
Brent,Education,2018,10000
Brent,Health,2018,19000
Brent,"Arts, entertainment and recreation",2018,2250
Brent,Other services,2018,2000
Brent,Primary & Utilities,2019,1250
Brent,Manufacturing,2019,8000
Brent,Construction,2019,8000
Brent,Wholesale,2019,12000
Brent,Retail,2019,11000
Brent,Transportation and Storage,2019,9000
Brent,Accomodation and food service activities,2019,9000
Brent,Information and Communication,2019,4500
Brent,Financial and insurance activities,2019,1500
Brent,"Professional, Real Estate, Scientific and technical activities",2019,10000
Brent,Administrative and support service activities,2019,12000
Brent,Public Admin and defence,2019,3000
Brent,Education,2019,9000
Brent,Health,2019,17000
Brent,"Arts, entertainment and recreation",2019,2500
Brent,Other services,2019,2250
Brent,Primary & Utilities,2020,1250
Brent,Manufacturing,2020,9000
Brent,Construction,2020,7000
Brent,Wholesale,2020,12000
Brent,Retail,2020,13000
Brent,Transportation and Storage,2020,9000
Brent,Accomodation and food service activities,2020,9000
Brent,Information and Communication,2020,4000
Brent,Financial and insurance activities,2020,1250
Brent,"Professional, Real Estate, Scientific and technical activities",2020,10000
Brent,Administrative and support service activities,2020,10000
Brent,Public Admin and defence,2020,3000
Brent,Education,2020,9000
Brent,Health,2020,18000
Brent,"Arts, entertainment and recreation",2020,3000
Brent,Other services,2020,1750
Brent,Primary & Utilities,2021,1250
Brent,Manufacturing,2021,8000
Brent,Construction,2021,7000
Brent,Wholesale,2021,11000
Brent,Retail,2021,13000
Brent,Transportation and Storage,2021,8000
Brent,Accomodation and food service activities,2021,9000
Brent,Information and Communication,2021,3500
Brent,Financial and insurance activities,2021,1500
Brent,"Professional, Real Estate, Scientific and technical activities",2021,10000
Brent,Administrative and support service activities,2021,9000
Brent,Public Admin and defence,2021,3500
Brent,Education,2021,10000
Brent,Health,2021,18000
Brent,"Arts, entertainment and recreation",2021,3000
Brent,Other services,2021,2000
Bromley,Primary & Utilities,1996,1250
Bromley,Manufacturing,1996,5000
Bromley,Construction,1996,4500
Bromley,Wholesale,1996,6000
Bromley,Retail,1996,14000
Bromley,Transportation and Storage,1996,3000
Bromley,Accomodation and food service activities,1996,3500
Bromley,Information and Communication,1996,4000
Bromley,Financial and insurance activities,1996,4500
Bromley,"Professional, Real Estate, Scientific and technical activities",1996,9000
Bromley,Administrative and support service activities,1996,7000
Bromley,Public Admin and defence,1996,3000
Bromley,Education,1996,6000
Bromley,Health,1996,11000
Bromley,"Arts, entertainment and recreation",1996,1750
Bromley,Other services,1996,2250
Bromley,Primary & Utilities,1997,1250
Bromley,Manufacturing,1997,5000
Bromley,Construction,1997,4500
Bromley,Wholesale,1997,5000
Bromley,Retail,1997,14000
Bromley,Transportation and Storage,1997,4000
Bromley,Accomodation and food service activities,1997,5000
Bromley,Information and Communication,1997,4500
Bromley,Financial and insurance activities,1997,5000
Bromley,"Professional, Real Estate, Scientific and technical activities",1997,9000
Bromley,Administrative and support service activities,1997,9000
Bromley,Public Admin and defence,1997,2500
Bromley,Education,1997,7000
Bromley,Health,1997,12000
Bromley,"Arts, entertainment and recreation",1997,1750
Bromley,Other services,1997,2250
Bromley,Primary & Utilities,1998,1250
Bromley,Manufacturing,1998,5000
Bromley,Construction,1998,6000
Bromley,Wholesale,1998,6000
Bromley,Retail,1998,15000
Bromley,Transportation and Storage,1998,3500
Bromley,Accomodation and food service activities,1998,5000
Bromley,Information and Communication,1998,5000
Bromley,Financial and insurance activities,1998,5000
Bromley,"Professional, Real Estate, Scientific and technical activities",1998,9000
Bromley,Administrative and support service activities,1998,9000
Bromley,Public Admin and defence,1998,3000
Bromley,Education,1998,6000
Bromley,Health,1998,11000
Bromley,"Arts, entertainment and recreation",1998,1250
Bromley,Other services,1998,3000
Bromley,Primary & Utilities,1999,900
Bromley,Manufacturing,1999,5000
Bromley,Construction,1999,8000
Bromley,Wholesale,1999,6000
Bromley,Retail,1999,16000
Bromley,Transportation and Storage,1999,4500
Bromley,Accomodation and food service activities,1999,6000
Bromley,Information and Communication,1999,5000
Bromley,Financial and insurance activities,1999,6000
Bromley,"Professional, Real Estate, Scientific and technical activities",1999,10000
Bromley,Administrative and support service activities,1999,10000
Bromley,Public Admin and defence,1999,3500
Bromley,Education,1999,7000
Bromley,Health,1999,10000
Bromley,"Arts, entertainment and recreation",1999,1250
Bromley,Other services,1999,3500
Bromley,Primary & Utilities,2000,700
Bromley,Manufacturing,2000,5000
Bromley,Construction,2000,7000
Bromley,Wholesale,2000,6000
Bromley,Retail,2000,16000
Bromley,Transportation and Storage,2000,5000
Bromley,Accomodation and food service activities,2000,5000
Bromley,Information and Communication,2000,6000
Bromley,Financial and insurance activities,2000,6000
Bromley,"Professional, Real Estate, Scientific and technical activities",2000,9000
Bromley,Administrative and support service activities,2000,9000
Bromley,Public Admin and defence,2000,3000
Bromley,Education,2000,7000
Bromley,Health,2000,11000
Bromley,"Arts, entertainment and recreation",2000,1250
Bromley,Other services,2000,4000
Bromley,Primary & Utilities,2001,900
Bromley,Manufacturing,2001,5000
Bromley,Construction,2001,6000
Bromley,Wholesale,2001,5000
Bromley,Retail,2001,16000
Bromley,Transportation and Storage,2001,4500
Bromley,Accomodation and food service activities,2001,5000
Bromley,Information and Communication,2001,6000
Bromley,Financial and insurance activities,2001,6000
Bromley,"Professional, Real Estate, Scientific and technical activities",2001,9000
Bromley,Administrative and support service activities,2001,9000
Bromley,Public Admin and defence,2001,3500
Bromley,Education,2001,6000
Bromley,Health,2001,11000
Bromley,"Arts, entertainment and recreation",2001,1500
Bromley,Other services,2001,3500
Bromley,Primary & Utilities,2002,1000
Bromley,Manufacturing,2002,4500
Bromley,Construction,2002,6000
Bromley,Wholesale,2002,6000
Bromley,Retail,2002,16000
Bromley,Transportation and Storage,2002,4500
Bromley,Accomodation and food service activities,2002,6000
Bromley,Information and Communication,2002,6000
Bromley,Financial and insurance activities,2002,8000
Bromley,"Professional, Real Estate, Scientific and technical activities",2002,8000
Bromley,Administrative and support service activities,2002,8000
Bromley,Public Admin and defence,2002,3500
Bromley,Education,2002,8000
Bromley,Health,2002,12000
Bromley,"Arts, entertainment and recreation",2002,1500
Bromley,Other services,2002,4000
Bromley,Primary & Utilities,2003,600
Bromley,Manufacturing,2003,4000
Bromley,Construction,2003,6000
Bromley,Wholesale,2003,6000
Bromley,Retail,2003,15000
Bromley,Transportation and Storage,2003,4500
Bromley,Accomodation and food service activities,2003,6000
Bromley,Information and Communication,2003,6000
Bromley,Financial and insurance activities,2003,8000
Bromley,"Professional, Real Estate, Scientific and technical activities",2003,10000
Bromley,Administrative and support service activities,2003,9000
Bromley,Public Admin and defence,2003,4000
Bromley,Education,2003,8000
Bromley,Health,2003,16000
Bromley,"Arts, entertainment and recreation",2003,2000
Bromley,Other services,2003,3000
Bromley,Primary & Utilities,2004,800
Bromley,Manufacturing,2004,4000
Bromley,Construction,2004,7000
Bromley,Wholesale,2004,5000
Bromley,Retail,2004,15000
Bromley,Transportation and Storage,2004,4000
Bromley,Accomodation and food service activities,2004,6000
Bromley,Information and Communication,2004,6000
Bromley,Financial and insurance activities,2004,7000
Bromley,"Professional, Real Estate, Scientific and technical activities",2004,10000
Bromley,Administrative and support service activities,2004,9000
Bromley,Public Admin and defence,2004,4000
Bromley,Education,2004,8000
Bromley,Health,2004,16000
Bromley,"Arts, entertainment and recreation",2004,2500
Bromley,Other services,2004,3000
Bromley,Primary & Utilities,2005,700
Bromley,Manufacturing,2005,3500
Bromley,Construction,2005,6000
Bromley,Wholesale,2005,5000
Bromley,Retail,2005,15000
Bromley,Transportation and Storage,2005,4500
Bromley,Accomodation and food service activities,2005,6000
Bromley,Information and Communication,2005,5000
Bromley,Financial and insurance activities,2005,6000
Bromley,"Professional, Real Estate, Scientific and technical activities",2005,10000
Bromley,Administrative and support service activities,2005,9000
Bromley,Public Admin and defence,2005,3000
Bromley,Education,2005,9000
Bromley,Health,2005,17000
Bromley,"Arts, entertainment and recreation",2005,2000
Bromley,Other services,2005,3500
Bromley,Primary & Utilities,2006,1250
Bromley,Manufacturing,2006,3000
Bromley,Construction,2006,7000
Bromley,Wholesale,2006,4500
Bromley,Retail,2006,14000
Bromley,Transportation and Storage,2006,4000
Bromley,Accomodation and food service activities,2006,6000
Bromley,Information and Communication,2006,5000
Bromley,Financial and insurance activities,2006,8000
Bromley,"Professional, Real Estate, Scientific and technical activities",2006,12000
Bromley,Administrative and support service activities,2006,10000
Bromley,Public Admin and defence,2006,4500
Bromley,Education,2006,7000
Bromley,Health,2006,18000
Bromley,"Arts, entertainment and recreation",2006,2000
Bromley,Other services,2006,3000
Bromley,Primary & Utilities,2007,1500
Bromley,Manufacturing,2007,3000
Bromley,Construction,2007,7000
Bromley,Wholesale,2007,4500
Bromley,Retail,2007,15000
Bromley,Transportation and Storage,2007,3500
Bromley,Accomodation and food service activities,2007,6000
Bromley,Information and Communication,2007,5000
Bromley,Financial and insurance activities,2007,8000
Bromley,"Professional, Real Estate, Scientific and technical activities",2007,14000
Bromley,Administrative and support service activities,2007,11000
Bromley,Public Admin and defence,2007,3000
Bromley,Education,2007,9000
Bromley,Health,2007,18000
Bromley,"Arts, entertainment and recreation",2007,2000
Bromley,Other services,2007,3000
Bromley,Primary & Utilities,2008,700
Bromley,Manufacturing,2008,3000
Bromley,Construction,2008,6000
Bromley,Wholesale,2008,4500
Bromley,Retail,2008,14000
Bromley,Transportation and Storage,2008,3500
Bromley,Accomodation and food service activities,2008,6000
Bromley,Information and Communication,2008,5000
Bromley,Financial and insurance activities,2008,6000
Bromley,"Professional, Real Estate, Scientific and technical activities",2008,12000
Bromley,Administrative and support service activities,2008,9000
Bromley,Public Admin and defence,2008,3500
Bromley,Education,2008,10000
Bromley,Health,2008,19000
Bromley,"Arts, entertainment and recreation",2008,2250
Bromley,Other services,2008,3000
Bromley,Primary & Utilities,2009,600
Bromley,Manufacturing,2009,3000
Bromley,Construction,2009,5000
Bromley,Wholesale,2009,4500
Bromley,Retail,2009,14000
Bromley,Transportation and Storage,2009,3500
Bromley,Accomodation and food service activities,2009,6000
Bromley,Information and Communication,2009,3500
Bromley,Financial and insurance activities,2009,8000
Bromley,"Professional, Real Estate, Scientific and technical activities",2009,9000
Bromley,Administrative and support service activities,2009,12000
Bromley,Public Admin and defence,2009,3500
Bromley,Education,2009,11000
Bromley,Health,2009,16000
Bromley,"Arts, entertainment and recreation",2009,4000
Bromley,Other services,2009,2500
Bromley,Primary & Utilities,2010,900
Bromley,Manufacturing,2010,3000
